accuracy,loss,val_accuracy,val_loss
0.4855072498321533,180921.90625,0.6304348111152649,33805.75390625
0.49275362491607666,33983.43359375,0.6304348111152649,57634.02734375
0.5036231875419617,29378.27734375,0.6304348111152649,9988.91015625
0.510869562625885,33387.14453125,0.6304348111152649,24104.478515625
0.5036231875419617,12961.7119140625,0.3695652186870575,7857.9990234375
0.5,14162.6142578125,0.6304348111152649,17688.92578125
0.5036231875419617,24387.4140625,0.6304348111152649,31891.45703125
0.5253623127937317,23697.25390625,0.6304348111152649,7730.35302734375
0.5036231875419617,26644.19921875,0.3695652186870575,9853.4541015625
0.49637681245803833,19237.603515625,0.6304348111152649,7936.74560546875
0.5072463750839233,15726.12890625,0.3695652186870575,56315.1875
0.4909420311450958,37975.4765625,0.3695652186870575,17623.80859375
0.4547101557254791,32013.296875,0.3695652186870575,33308.96875
0.5126811861991882,24988.962890625,0.6304348111152649,25984.6484375
0.510869562625885,40302.7734375,0.3695652186870575,49038.2734375
0.5036231875419617,25190.33203125,0.3695652186870575,3518.9765625
0.5072463750839233,38141.6015625,0.3695652186870575,46452.359375
0.4746376872062683,12813.3310546875,0.3695652186870575,18030.474609375
0.5126811861991882,23294.845703125,0.3695652186870575,19358.26953125
0.5271739363670349,18407.712890625,0.6304348111152649,16784.490234375
